Date,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,FIPS,Incident_Rate,People_Tested,People_Hospitalized,Mortality_Rate,UID,ISO3,Testing_Rate,Hospitalization_Rate
2020-05-24,Washington,US,2020-05-25 02:32:50,47.4009,-121.4905,19828,1061,,18767.0,53,260.38448603283064,316276,3256,5.351018761347589,84000053,USA,4153.387316144823,16.421222513617106
2020-05-24,West Virginia,US,2020-05-25 02:32:50,38.4912,-80.9545,1759,72,1121,566.0,54,98.15043074033548,85694,,4.093234792495736,84000054,USA,4781.6390061752745,
2020-05-24,Wisconsin,US,2020-05-25 02:32:50,44.2685,-89.6165,15277,510,8999,5768.0,55,262.38167749089126,201483,2315,3.338351770635596,84000055,USA,3460.460006931809,15.153498723571381
2020-05-24,Wyoming,US,2020-05-25 02:32:50,42.756,-107.3025,838,12,556,270.0,56,144.79256478085006,20034,78,1.431980906921241,84000056,USA,3461.5444425054297,9.307875894988067
2020-05-25,Alabama,US,2020-05-26 02:32:41,32.3182,-86.9023,15309,566,7951,6469.0,1,305.6380699484111,190315,1629,3.7768584011744295,84000001,USA,3881.4566450174734,10.870145469104498
2020-05-25,Alaska,US,2020-05-26 02:32:41,61.3707,-152.4044,408,10,361,37.0,2,55.77237217122665,44472,,2.450980392156863,84000002,USA,6079.1885666637045,
2020-05-25,American Samoa,US,2020-05-26 02:32:41,-14.270999999999999,-170.132,0,0,,0.0,60,0.0,124,,,16,ASM,222.85724555633436,
2020-05-25,Arizona,US,2020-05-26 02:32:41,33.7298,-111.4312,16575,807,4204,11564.0,4,227.71870372209827,187782,1961,4.868778280542986,84000004,USA,2579.877744937741,11.83107088989442
2020-05-25,Arkansas,US,2020-05-26 02:32:41,34.9697,-92.3731,6029,117,4249,1663.0,5,199.7810328304953,111622,605,1.9406203350472715,84000005,USA,3698.7822933497337,10.03483164703931
2020-05-25,California,US,2020-05-26 02:32:41,36.1162,-119.6816,96400,3769,,92631.0,6,243.97513650396232,1644102,,3.909751037344398,84000006,USA,4160.9959530750775,
2020-05-25,Colorado,US,2020-05-26 02:32:41,39.0598,-105.3111,24269,1333,3666,19257.0,8,421.2035418883588,150308,4119,5.495547493403694,84000008,USA,2610.086657905485,16.9813654353562
2020-05-25,Connecticut,US,2020-05-26 02:32:41,41.5978,-72.7554,40873,3742,7127,30004.0,9,1146.4154218159715,221726,12538,9.155188021432242,84000009,USA,6219.022479817193,30.675507058449345
2020-05-25,Delaware,US,2020-05-26 02:32:41,39.3185,-75.5071,8965,332,4693,3940.0,10,920.6542858433871,53896,,3.7032905744562186,84000010,USA,5534.8113095164745,
2020-05-25,Diamond Princess,US,2020-05-26 02:32:41,,,49,0,,49.0,88888,,,,0.0,84088888,USA,,
2020-05-25,District of Columbia,US,2020-05-26 02:32:41,38.8974,-77.0268,8225,440,1080,6705.0,11,1165.4285022012075,40803,,5.349544072948328,84000011,USA,5781.517224962416,
